Borough,Sector,Year,Employee jobs
Hounslow,Manufacturing,2001,7000
Hounslow,Construction,2001,6000
Hounslow,Wholesale,2001,12000
Hounslow,Retail,2001,9000
Hounslow,Transportation and Storage,2001,12000
Hounslow,Accomodation and food service activities,2001,11000
Hounslow,Information and Communication,2001,18000
Hounslow,Financial and insurance activities,2001,4000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2001,12000
Hounslow,Administrative and support service activities,2001,15000
Hounslow,Public Admin and defence,2001,7000
Hounslow,Education,2001,7000
Hounslow,Health,2001,7000
Hounslow,"Arts, entertainment and recreation",2001,5000
Hounslow,Other services,2001,4500
Hounslow,Primary & Utilities,2002,700
Hounslow,Manufacturing,2002,7000
Hounslow,Construction,2002,5000
Hounslow,Wholesale,2002,13000
Hounslow,Retail,2002,9000
Hounslow,Transportation and Storage,2002,12000
Hounslow,Accomodation and food service activities,2002,7000
Hounslow,Information and Communication,2002,11000
Hounslow,Financial and insurance activities,2002,3000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2002,9000
Hounslow,Administrative and support service activities,2002,12000
Hounslow,Public Admin and defence,2002,7000
Hounslow,Education,2002,8000
Hounslow,Health,2002,8000
Hounslow,"Arts, entertainment and recreation",2002,4500
Hounslow,Other services,2002,4000
Hounslow,Primary & Utilities,2003,500
Hounslow,Manufacturing,2003,6000
Hounslow,Construction,2003,5000
Hounslow,Wholesale,2003,12000
Hounslow,Retail,2003,10000
Hounslow,Transportation and Storage,2003,12000
Hounslow,Accomodation and food service activities,2003,7000
Hounslow,Information and Communication,2003,12000
Hounslow,Financial and insurance activities,2003,3500
Hounslow,"Professional, Real Estate, Scientific and technical activities",2003,11000
Hounslow,Administrative and support service activities,2003,12000
Hounslow,Public Admin and defence,2003,5000
Hounslow,Education,2003,8000
Hounslow,Health,2003,7000
Hounslow,"Arts, entertainment and recreation",2003,4500
Hounslow,Other services,2003,3500
Hounslow,Primary & Utilities,2004,600
Hounslow,Manufacturing,2004,6000
Hounslow,Construction,2004,4500
Hounslow,Wholesale,2004,12000
Hounslow,Retail,2004,10000
Hounslow,Transportation and Storage,2004,11000
Hounslow,Accomodation and food service activities,2004,7000
Hounslow,Information and Communication,2004,11000
Hounslow,Financial and insurance activities,2004,2500
Hounslow,"Professional, Real Estate, Scientific and technical activities",2004,10000
Hounslow,Administrative and support service activities,2004,11000
Hounslow,Public Admin and defence,2004,6000
Hounslow,Education,2004,8000
Hounslow,Health,2004,7000
Hounslow,"Arts, entertainment and recreation",2004,5000
Hounslow,Other services,2004,3000
Hounslow,Primary & Utilities,2005,700
Hounslow,Manufacturing,2005,4500
Hounslow,Construction,2005,4000
Hounslow,Wholesale,2005,12000
Hounslow,Retail,2005,10000
Hounslow,Transportation and Storage,2005,12000
Hounslow,Accomodation and food service activities,2005,6000
Hounslow,Information and Communication,2005,12000
Hounslow,Financial and insurance activities,2005,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2005,13000
Hounslow,Administrative and support service activities,2005,12000
Hounslow,Public Admin and defence,2005,6000
Hounslow,Education,2005,9000
Hounslow,Health,2005,7000
Hounslow,"Arts, entertainment and recreation",2005,5000
Hounslow,Other services,2005,3000
Hounslow,Primary & Utilities,2006,800
Hounslow,Manufacturing,2006,4500
Hounslow,Construction,2006,5000
Hounslow,Wholesale,2006,12000
Hounslow,Retail,2006,12000
Hounslow,Transportation and Storage,2006,12000
Hounslow,Accomodation and food service activities,2006,6000
Hounslow,Information and Communication,2006,11000
Hounslow,Financial and insurance activities,2006,2250
Hounslow,"Professional, Real Estate, Scientific and technical activities",2006,13000
Hounslow,Administrative and support service activities,2006,13000
Hounslow,Public Admin and defence,2006,5000
Hounslow,Education,2006,8000
Hounslow,Health,2006,8000
Hounslow,"Arts, entertainment and recreation",2006,5000
Hounslow,Other services,2006,3500
Hounslow,Primary & Utilities,2007,800
Hounslow,Manufacturing,2007,3500
Hounslow,Construction,2007,5000
Hounslow,Wholesale,2007,11000
Hounslow,Retail,2007,12000
Hounslow,Transportation and Storage,2007,13000
Hounslow,Accomodation and food service activities,2007,6000
Hounslow,Information and Communication,2007,13000
Hounslow,Financial and insurance activities,2007,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2007,15000
Hounslow,Administrative and support service activities,2007,12000
Hounslow,Public Admin and defence,2007,5000
Hounslow,Education,2007,8000
Hounslow,Health,2007,7000
Hounslow,"Arts, entertainment and recreation",2007,6000
Hounslow,Other services,2007,2250
Hounslow,Primary & Utilities,2008,700
Hounslow,Manufacturing,2008,4000
Hounslow,Construction,2008,5000
Hounslow,Wholesale,2008,12000
Hounslow,Retail,2008,11000
Hounslow,Transportation and Storage,2008,12000
Hounslow,Accomodation and food service activities,2008,7000
Hounslow,Information and Communication,2008,16000
Hounslow,Financial and insurance activities,2008,2500
Hounslow,"Professional, Real Estate, Scientific and technical activities",2008,15000
Hounslow,Administrative and support service activities,2008,12000
Hounslow,Public Admin and defence,2008,6000
Hounslow,Education,2008,7000
Hounslow,Health,2008,8000
Hounslow,"Arts, entertainment and recreation",2008,7000
Hounslow,Other services,2008,2250
Hounslow,Primary & Utilities,2009,800
Hounslow,Manufacturing,2009,4500
Hounslow,Construction,2009,3500
Hounslow,Wholesale,2009,11000
Hounslow,Retail,2009,11000
Hounslow,Transportation and Storage,2009,13000
Hounslow,Accomodation and food service activities,2009,7000
Hounslow,Information and Communication,2009,15000
Hounslow,Financial and insurance activities,2009,2500
Hounslow,"Professional, Real Estate, Scientific and technical activities",2009,14000
Hounslow,Administrative and support service activities,2009,18000
Hounslow,Public Admin and defence,2009,6000
Hounslow,Education,2009,7000
Hounslow,Health,2009,9000
Hounslow,"Arts, entertainment and recreation",2009,3000
Hounslow,Other services,2009,2250
Hounslow,Primary & Utilities,2010,600
Hounslow,Manufacturing,2010,4000
Hounslow,Construction,2010,2500
Hounslow,Wholesale,2010,11000
Hounslow,Retail,2010,10000
Hounslow,Transportation and Storage,2010,12000
Hounslow,Accomodation and food service activities,2010,7000
Hounslow,Information and Communication,2010,15000
Hounslow,Financial and insurance activities,2010,2250
Hounslow,"Professional, Real Estate, Scientific and technical activities",2010,15000
Hounslow,Administrative and support service activities,2010,18000
Hounslow,Public Admin and defence,2010,4500
Hounslow,Education,2010,8000
Hounslow,Health,2010,10000
Hounslow,"Arts, entertainment and recreation",2010,3000
Hounslow,Other services,2010,3000
Hounslow,Primary & Utilities,2011,800
Hounslow,Manufacturing,2011,4000
Hounslow,Construction,2011,4500
Hounslow,Wholesale,2011,11000
Hounslow,Retail,2011,9000
Hounslow,Transportation and Storage,2011,15000
Hounslow,Accomodation and food service activities,2011,6000
Hounslow,Information and Communication,2011,16000
Hounslow,Financial and insurance activities,2011,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2011,13000
Hounslow,Administrative and support service activities,2011,17000
Hounslow,Public Admin and defence,2011,4500
Hounslow,Education,2011,7000
Hounslow,Health,2011,11000
Hounslow,"Arts, entertainment and recreation",2011,3500
Hounslow,Other services,2011,2250
Hounslow,Primary & Utilities,2012,800
Hounslow,Manufacturing,2012,4000
Hounslow,Construction,2012,4500
Hounslow,Wholesale,2012,12000
Hounslow,Retail,2012,10000
Hounslow,Transportation and Storage,2012,16000
Hounslow,Accomodation and food service activities,2012,7000
Hounslow,Information and Communication,2012,20000
Hounslow,Financial and insurance activities,2012,2250
Hounslow,"Professional, Real Estate, Scientific and technical activities",2012,14000
Hounslow,Administrative and support service activities,2012,17000
Hounslow,Public Admin and defence,2012,5000
Hounslow,Education,2012,8000
Hounslow,Health,2012,11000
Hounslow,"Arts, entertainment and recreation",2012,3500
Hounslow,Other services,2012,2250
Hounslow,Primary & Utilities,2013,900
Hounslow,Manufacturing,2013,4000
Hounslow,Construction,2013,4500
Hounslow,Wholesale,2013,13000
Hounslow,Retail,2013,11000
Hounslow,Transportation and Storage,2013,16000
Hounslow,Accomodation and food service activities,2013,8000
Hounslow,Information and Communication,2013,23000
Hounslow,Financial and insurance activities,2013,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2013,15000
Hounslow,Administrative and support service activities,2013,17000
Hounslow,Public Admin and defence,2013,4000
Hounslow,Education,2013,8000
Hounslow,Health,2013,10000
Hounslow,"Arts, entertainment and recreation",2013,3000
Hounslow,Other services,2013,2250
Hounslow,Primary & Utilities,2014,1250
Hounslow,Manufacturing,2014,3500
Hounslow,Construction,2014,3000
Hounslow,Wholesale,2014,11000
Hounslow,Retail,2014,11000
Hounslow,Transportation and Storage,2014,16000
Hounslow,Accomodation and food service activities,2014,9000
Hounslow,Information and Communication,2014,21000
Hounslow,Financial and insurance activities,2014,2250
Hounslow,"Professional, Real Estate, Scientific and technical activities",2014,15000
Hounslow,Administrative and support service activities,2014,18000
Hounslow,Public Admin and defence,2014,4000
Hounslow,Education,2014,9000
Hounslow,Health,2014,11000
Hounslow,"Arts, entertainment and recreation",2014,3000
Hounslow,Other services,2014,2500
Hounslow,Primary & Utilities,2015,1000
Hounslow,Manufacturing,2015,3500
Hounslow,Construction,2015,2500
Hounslow,Wholesale,2015,10000
Hounslow,Retail,2015,11000
Hounslow,Transportation and Storage,2015,39000
Hounslow,Accomodation and food service activities,2015,9000
Hounslow,Information and Communication,2015,21000
Hounslow,Financial and insurance activities,2015,3000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2015,14000
Hounslow,Administrative and support service activities,2015,18000
Hounslow,Public Admin and defence,2015,4000
Hounslow,Education,2015,9000
Hounslow,Health,2015,9000
Hounslow,"Arts, entertainment and recreation",2015,3500
Hounslow,Other services,2015,2250
Hounslow,Primary & Utilities,2016,1000
Hounslow,Manufacturing,2016,3500
Hounslow,Construction,2016,4000
Hounslow,Wholesale,2016,10000
Hounslow,Retail,2016,10000
Hounslow,Transportation and Storage,2016,41000
Hounslow,Accomodation and food service activities,2016,10000
Hounslow,Information and Communication,2016,23000
Hounslow,Financial and insurance activities,2016,3000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2016,16000
Hounslow,Administrative and support service activities,2016,20000
Hounslow,Public Admin and defence,2016,4000
Hounslow,Education,2016,8000
Hounslow,Health,2016,12000
Hounslow,"Arts, entertainment and recreation",2016,3000
Hounslow,Other services,2016,2500
Hounslow,Primary & Utilities,2017,900
Hounslow,Manufacturing,2017,3000
Hounslow,Construction,2017,4000
Hounslow,Wholesale,2017,11000
Hounslow,Retail,2017,11000
Hounslow,Transportation and Storage,2017,40000
Hounslow,Accomodation and food service activities,2017,9000
Hounslow,Information and Communication,2017,21000
Hounslow,Financial and insurance activities,2017,2500
Hounslow,"Professional, Real Estate, Scientific and technical activities",2017,14000
Hounslow,Administrative and support service activities,2017,16000
Hounslow,Public Admin and defence,2017,3500
Hounslow,Education,2017,8000
Hounslow,Health,2017,13000
Hounslow,"Arts, entertainment and recreation",2017,3500
Hounslow,Other services,2017,2000
Hounslow,Primary & Utilities,2018,1250
Hounslow,Manufacturing,2018,3500
Hounslow,Construction,2018,4000
Hounslow,Wholesale,2018,11000
Hounslow,Retail,2018,11000
Hounslow,Transportation and Storage,2018,41000
Hounslow,Accomodation and food service activities,2018,10000
Hounslow,Information and Communication,2018,20000
Hounslow,Financial and insurance activities,2018,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2018,13000
Hounslow,Administrative and support service activities,2018,14000
Hounslow,Public Admin and defence,2018,4000
Hounslow,Education,2018,8000
Hounslow,Health,2018,11000
Hounslow,"Arts, entertainment and recreation",2018,2500
Hounslow,Other services,2018,2250
Hounslow,Primary & Utilities,2019,1250
Hounslow,Manufacturing,2019,4000
Hounslow,Construction,2019,5000
Hounslow,Wholesale,2019,12000
Hounslow,Retail,2019,11000
Hounslow,Transportation and Storage,2019,42000
Hounslow,Accomodation and food service activities,2019,10000
Hounslow,Information and Communication,2019,21000
Hounslow,Financial and insurance activities,2019,2250
Hounslow,"Professional, Real Estate, Scientific and technical activities",2019,12000
Hounslow,Administrative and support service activities,2019,14000
Hounslow,Public Admin and defence,2019,4500
Hounslow,Education,2019,8000
Hounslow,Health,2019,11000
Hounslow,"Arts, entertainment and recreation",2019,3000
Hounslow,Other services,2019,2000
Hounslow,Primary & Utilities,2020,1250
Hounslow,Manufacturing,2020,4000
Hounslow,Construction,2020,4500
Hounslow,Wholesale,2020,12000
Hounslow,Retail,2020,11000
Hounslow,Transportation and Storage,2020,40000
Hounslow,Accomodation and food service activities,2020,9000
Hounslow,Information and Communication,2020,20000
Hounslow,Financial and insurance activities,2020,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2020,11000
Hounslow,Administrative and support service activities,2020,12000
Hounslow,Public Admin and defence,2020,4500
Hounslow,Education,2020,9000
Hounslow,Health,2020,11000
Hounslow,"Arts, entertainment and recreation",2020,2500
Hounslow,Other services,2020,2000
Hounslow,Primary & Utilities,2021,1250
Hounslow,Manufacturing,2021,3000
Hounslow,Construction,2021,4500
Hounslow,Wholesale,2021,11000
Hounslow,Retail,2021,11000
Hounslow,Transportation and Storage,2021,40000
Hounslow,Accomodation and food service activities,2021,9000
Hounslow,Information and Communication,2021,20000
Hounslow,Financial and insurance activities,2021,2000
Hounslow,"Professional, Real Estate, Scientific and technical activities",2021,13000
Hounslow,Administrative and support service activities,2021,12000
Hounslow,Public Admin and defence,2021,3500
Hounslow,Education,2021,9000
Hounslow,Health,2021,11000
Hounslow,"Arts, entertainment and recreation",2021,3000
Hounslow,Other services,2021,2000
Islington,Primary & Utilities,1996,1000
Islington,Manufacturing,1996,8000
Islington,Construction,1996,3000
Islington,Wholesale,1996,4500
Islington,Retail,1996,6000
Islington,Transportation and Storage,1996,15000
Islington,Accomodation and food service activities,1996,5000
Islington,Information and Communication,1996,16000
Islington,Financial and insurance activities,1996,11000
Islington,"Professional, Real Estate, Scientific and technical activities",1996,15000
Islington,Administrative and support service activities,1996,14000
Islington,Public Admin and defence,1996,8000
Islington,Education,1996,6000
Islington,Health,1996,9000
Islington,"Arts, entertainment and recreation",1996,3500
Islington,Other services,1996,2500
Islington,Primary & Utilities,1997,1000
Islington,Manufacturing,1997,9000
Islington,Construction,1997,3500
Islington,Wholesale,1997,6000
Islington,Retail,1997,6000
Islington,Transportation and Storage,1997,11000
Islington,Accomodation and food service activities,1997,5000
Islington,Information and Communication,1997,18000
Islington,Financial and insurance activities,1997,12000
Islington,"Professional, Real Estate, Scientific and technical activities",1997,18000
Islington,Administrative and support service activities,1997,16000
Islington,Public Admin and defence,1997,6000
Islington,Education,1997,7000
Islington,Health,1997,11000
Islington,"Arts, entertainment and recreation",1997,4000
Islington,Other services,1997,4000
Islington,Primary & Utilities,1998,1000
Islington,Manufacturing,1998,8000
Islington,Construction,1998,4500
Islington,Wholesale,1998,6000
Islington,Retail,1998,7000
Islington,Transportation and Storage,1998,12000
Islington,Accomodation and food service activities,1998,6000
Islington,Information and Communication,1998,18000
Islington,Financial and insurance activities,1998,11000
Islington,"Professional, Real Estate, Scientific and technical activities",1998,17000
Islington,Administrative and support service activities,1998,16000
Islington,Public Admin and defence,1998,6000
Islington,Education,1998,8000
Islington,Health,1998,13000
Islington,"Arts, entertainment and recreation",1998,3500
Islington,Other services,1998,3500
Islington,Primary & Utilities,1999,1000
Islington,Manufacturing,1999,8000
Islington,Construction,1999,3500
Islington,Wholesale,1999,6000
Islington,Retail,1999,7000
Islington,Transportation and Storage,1999,12000
Islington,Accomodation and food service activities,1999,8000
Islington,Information and Communication,1999,20000
Islington,Financial and insurance activities,1999,11000
Islington,"Professional, Real Estate, Scientific and technical activities",1999,18000
Islington,Administrative and support service activities,1999,18000
Islington,Public Admin and defence,1999,6000
Islington,Education,1999,8000
Islington,Health,1999,15000
Islington,"Arts, entertainment and recreation",1999,4000
Islington,Other services,1999,4000
Islington,Primary & Utilities,2000,1250
Islington,Manufacturing,2000,8000
Islington,Construction,2000,3500
Islington,Wholesale,2000,7000
Islington,Retail,2000,8000
Islington,Transportation and Storage,2000,14000
Islington,Accomodation and food service activities,2000,8000
Islington,Information and Communication,2000,23000
Islington,Financial and insurance activities,2000,16000
Islington,"Professional, Real Estate, Scientific and technical activities",2000,19000
Islington,Administrative and support service activities,2000,19000
Islington,Public Admin and defence,2000,6000
Islington,Education,2000,8000
Islington,Health,2000,13000
Islington,"Arts, entertainment and recreation",2000,4500
Islington,Other services,2000,5000
Islington,Primary & Utilities,2001,700
Islington,Manufacturing,2001,8000
Islington,Construction,2001,5000
Islington,Wholesale,2001,6000
Islington,Retail,2001,8000
Islington,Transportation and Storage,2001,10000
Islington,Accomodation and food service activities,2001,8000
Islington,Information and Communication,2001,22000
Islington,Financial and insurance activities,2001,17000
Islington,"Professional, Real Estate, Scientific and technical activities",2001,20000
Islington,Administrative and support service activities,2001,19000
Islington,Public Admin and defence,2001,6000
Islington,Education,2001,7000
Islington,Health,2001,14000
Islington,"Arts, entertainment and recreation",2001,4000
Islington,Other services,2001,4500
Islington,Primary & Utilities,2002,450
Islington,Manufacturing,2002,7000
Islington,Construction,2002,4500
Islington,Wholesale,2002,5000
Islington,Retail,2002,8000
Islington,Transportation and Storage,2002,11000
Islington,Accomodation and food service activities,2002,8000
Islington,Information and Communication,2002,23000
Islington,Financial and insurance activities,2002,15000
Islington,"Professional, Real Estate, Scientific and technical activities",2002,21000
Islington,Administrative and support service activities,2002,19000
Islington,Public Admin and defence,2002,7000
Islington,Education,2002,8000
Islington,Health,2002,14000
Islington,"Arts, entertainment and recreation",2002,4500
Islington,Other services,2002,4000
Islington,Primary & Utilities,2003,450
Islington,Manufacturing,2003,7000
Islington,Construction,2003,4500
Islington,Wholesale,2003,5000
Islington,Retail,2003,9000
Islington,Transportation and Storage,2003,11000
Islington,Accomodation and food service activities,2003,8000
Islington,Information and Communication,2003,23000
Islington,Financial and insurance activities,2003,11000
Islington,"Professional, Real Estate, Scientific and technical activities",2003,22000
Islington,Administrative and support service activities,2003,20000
Islington,Public Admin and defence,2003,10000
Islington,Education,2003,10000
Islington,Health,2003,14000
Islington,"Arts, entertainment and recreation",2003,4500
Islington,Other services,2003,4000
Islington,Primary & Utilities,2004,450
Islington,Manufacturing,2004,6000
Islington,Construction,2004,5000
Islington,Wholesale,2004,4500
Islington,Retail,2004,8000
Islington,Transportation and Storage,2004,11000
Islington,Accomodation and food service activities,2004,8000
Islington,Information and Communication,2004,24000
Islington,Financial and insurance activities,2004,11000
Islington,"Professional, Real Estate, Scientific and technical activities",2004,23000
Islington,Administrative and support service activities,2004,21000
Islington,Public Admin and defence,2004,6000
Islington,Education,2004,9000
Islington,Health,2004,17000
Islington,"Arts, entertainment and recreation",2004,4000
Islington,Other services,2004,4500
Islington,Primary & Utilities,2005,500
Islington,Manufacturing,2005,6000
Islington,Construction,2005,5000
Islington,Wholesale,2005,5000
Islington,Retail,2005,8000
Islington,Transportation and Storage,2005,15000
Islington,Accomodation and food service activities,2005,8000
Islington,Information and Communication,2005,26000
Islington,Financial and insurance activities,2005,11000
Islington,"Professional, Real Estate, Scientific and technical activities",2005,24000
Islington,Administrative and support service activities,2005,21000
Islington,Public Admin and defence,2005,11000
Islington,Education,2005,10000
Islington,Health,2005,18000
Islington,"Arts, entertainment and recreation",2005,5000
Islington,Other services,2005,5000
Islington,Primary & Utilities,2006,500
Islington,Manufacturing,2006,6000
Islington,Construction,2006,4500
Islington,Wholesale,2006,4500
Islington,Retail,2006,8000
Islington,Transportation and Storage,2006,17000
Islington,Accomodation and food service activities,2006,8000
Islington,Information and Communication,2006,25000
Islington,Financial and insurance activities,2006,11000
Islington,"Professional, Real Estate, Scientific and technical activities",2006,25000
Islington,Administrative and support service activities,2006,21000
Islington,Public Admin and defence,2006,9000
Islington,Education,2006,9000
Islington,Health,2006,17000
Islington,"Arts, entertainment and recreation",2006,5000
Islington,Other services,2006,4500
Islington,Primary & Utilities,2007,500
Islington,Manufacturing,2007,5000
Islington,Construction,2007,4500
Islington,Wholesale,2007,4500
Islington,Retail,2007,8000
Islington,Transportation and Storage,2007,14000
Islington,Accomodation and food service activities,2007,9000
Islington,Information and Communication,2007,26000
Islington,Financial and insurance activities,2007,16000
Islington,"Professional, Real Estate, Scientific and technical activities",2007,33000
Islington,Administrative and support service activities,2007,27000
Islington,Public Admin and defence,2007,7000
Islington,Education,2007,9000
Islington,Health,2007,17000
Islington,"Arts, entertainment and recreation",2007,5000
Islington,Other services,2007,4500
Islington,Primary & Utilities,2008,600
Islington,Manufacturing,2008,5000
Islington,Construction,2008,4500
Islington,Wholesale,2008,4500
Islington,Retail,2008,8000
Islington,Transportation and Storage,2008,13000
Islington,Accomodation and food service activities,2008,10000
Islington,Information and Communication,2008,28000
Islington,Financial and insurance activities,2008,20000
Islington,"Professional, Real Estate, Scientific and technical activities",2008,32000
Islington,Administrative and support service activities,2008,24000
Islington,Public Admin and defence,2008,8000
Islington,Education,2008,9000
Islington,Health,2008,20000
Islington,"Arts, entertainment and recreation",2008,5000
Islington,Other services,2008,4500
Islington,Primary & Utilities,2009,400
Islington,Manufacturing,2009,3500
Islington,Construction,2009,4500
Islington,Wholesale,2009,4000
Islington,Retail,2009,8000
Islington,Transportation and Storage,2009,8000
Islington,Accomodation and food service activities,2009,11000
Islington,Information and Communication,2009,31000
Islington,Financial and insurance activities,2009,18000
Islington,"Professional, Real Estate, Scientific and technical activities",2009,36000
Islington,Administrative and support service activities,2009,17000
Islington,Public Admin and defence,2009,8000
Islington,Education,2009,10000
Islington,Health,2009,21000
Islington,"Arts, entertainment and recreation",2009,3500
Islington,Other services,2009,4500
Islington,Primary & Utilities,2010,700
Islington,Manufacturing,2010,3500
Islington,Construction,2010,3500
Islington,Wholesale,2010,4000
Islington,Retail,2010,8000
Islington,Transportation and Storage,2010,7000
Islington,Accomodation and food service activities,2010,11000
Islington,Information and Communication,2010,27000
Islington,Financial and insurance activities,2010,17000
Islington,"Professional, Real Estate, Scientific and technical activities",2010,37000
Islington,Administrative and support service activities,2010,17000
Islington,Public Admin and defence,2010,9000
Islington,Education,2010,10000
Islington,Health,2010,21000
Islington,"Arts, entertainment and recreation",2010,4000
Islington,Other services,2010,4500
Islington,Primary & Utilities,2011,1000
Islington,Manufacturing,2011,2500
Islington,Construction,2011,4000
Islington,Wholesale,2011,4000
Islington,Retail,2011,8000
Islington,Transportation and Storage,2011,6000
Islington,Accomodation and food service activities,2011,11000
Islington,Information and Communication,2011,30000
Islington,Financial and insurance activities,2011,18000
Islington,"Professional, Real Estate, Scientific and technical activities",2011,35000
Islington,Administrative and support service activities,2011,16000
Islington,Public Admin and defence,2011,7000
Islington,Education,2011,11000
Islington,Health,2011,18000
Islington,"Arts, entertainment and recreation",2011,4000
Islington,Other services,2011,4500
Islington,Primary & Utilities,2012,1250
Islington,Manufacturing,2012,3000
Islington,Construction,2012,4500
Islington,Wholesale,2012,4000
Islington,Retail,2012,8000
Islington,Transportation and Storage,2012,6000
Islington,Accomodation and food service activities,2012,12000
Islington,Information and Communication,2012,30000
Islington,Financial and insurance activities,2012,17000
Islington,"Professional, Real Estate, Scientific and technical activities",2012,39000
Islington,Administrative and support service activities,2012,17000
Islington,Public Admin and defence,2012,7000
Islington,Education,2012,10000
Islington,Health,2012,19000
Islington,"Arts, entertainment and recreation",2012,5000
Islington,Other services,2012,4500
Islington,Primary & Utilities,2013,600
Islington,Manufacturing,2013,2500
Islington,Construction,2013,4500
Islington,Wholesale,2013,4000
Islington,Retail,2013,9000
Islington,Transportation and Storage,2013,7000
Islington,Accomodation and food service activities,2013,13000
Islington,Information and Communication,2013,28000
Islington,Financial and insurance activities,2013,17000
Islington,"Professional, Real Estate, Scientific and technical activities",2013,44000
Islington,Administrative and support service activities,2013,24000
Islington,Public Admin and defence,2013,9000
Islington,Education,2013,10000
Islington,Health,2013,21000
Islington,"Arts, entertainment and recreation",2013,4500
Islington,Other services,2013,5000
Islington,Primary & Utilities,2014,450
Islington,Manufacturing,2014,3000
Islington,Construction,2014,4500
Islington,Wholesale,2014,4000
Islington,Retail,2014,10000
Islington,Transportation and Storage,2014,7000
Islington,Accomodation and food service activities,2014,14000
Islington,Information and Communication,2014,30000
Islington,Financial and insurance activities,2014,14000
Islington,"Professional, Real Estate, Scientific and technical activities",2014,44000
Islington,Administrative and support service activities,2014,25000
Islington,Public Admin and defence,2014,10000
Islington,Education,2014,11000
Islington,Health,2014,20000
Islington,"Arts, entertainment and recreation",2014,6000
Islington,Other services,2014,5000
Islington,Primary & Utilities,2015,1000
Islington,Manufacturing,2015,3000
Islington,Construction,2015,5000
Islington,Wholesale,2015,4500
Islington,Retail,2015,14000
Islington,Transportation and Storage,2015,6000
Islington,Accomodation and food service activities,2015,16000
Islington,Information and Communication,2015,32000
Islington,Financial and insurance activities,2015,14000
Islington,"Professional, Real Estate, Scientific and technical activities",2015,49000
Islington,Administrative and support service activities,2015,26000
Islington,Public Admin and defence,2015,9000
Islington,Education,2015,11000
Islington,Health,2015,19000
Islington,"Arts, entertainment and recreation",2015,6000
Islington,Other services,2015,6000
Islington,Primary & Utilities,2016,700
Islington,Manufacturing,2016,3000
Islington,Construction,2016,5000
Islington,Wholesale,2016,4500
Islington,Retail,2016,13000
Islington,Transportation and Storage,2016,5000
Islington,Accomodation and food service activities,2016,17000
Islington,Information and Communication,2016,31000
Islington,Financial and insurance activities,2016,13000
Islington,"Professional, Real Estate, Scientific and technical activities",2016,56000
Islington,Administrative and support service activities,2016,28000
Islington,Public Admin and defence,2016,8000
Islington,Education,2016,10000
Islington,Health,2016,19000
Islington,"Arts, entertainment and recreation",2016,6000
Islington,Other services,2016,6000
Islington,Primary & Utilities,2017,900
Islington,Manufacturing,2017,3000
Islington,Construction,2017,5000
Islington,Wholesale,2017,4500
Islington,Retail,2017,14000
Islington,Transportation and Storage,2017,5000
Islington,Accomodation and food service activities,2017,17000
Islington,Information and Communication,2017,31000
Islington,Financial and insurance activities,2017,12000
Islington,"Professional, Real Estate, Scientific and technical activities",2017,53000
Islington,Administrative and support service activities,2017,29000
Islington,Public Admin and defence,2017,5000
Islington,Education,2017,9000
Islington,Health,2017,18000
Islington,"Arts, entertainment and recreation",2017,6000
Islington,Other services,2017,6000
Islington,Primary & Utilities,2018,1000
Islington,Manufacturing,2018,3000
Islington,Construction,2018,7000
Islington,Wholesale,2018,5000
Islington,Retail,2018,14000
Islington,Transportation and Storage,2018,5000
Islington,Accomodation and food service activities,2018,18000
Islington,Information and Communication,2018,33000
Islington,Financial and insurance activities,2018,12000
Islington,"Professional, Real Estate, Scientific and technical activities",2018,55000
Islington,Administrative and support service activities,2018,30000
Islington,Public Admin and defence,2018,5000
Islington,Education,2018,10000
Islington,Health,2018,19000
Islington,"Arts, entertainment and recreation",2018,6000
Islington,Other services,2018,6000
Islington,Primary & Utilities,2019,800
Islington,Manufacturing,2019,3000
Islington,Construction,2019,8000
Islington,Wholesale,2019,5000
Islington,Retail,2019,13000
Islington,Transportation and Storage,2019,6000
Islington,Accomodation and food service activities,2019,18000
Islington,Information and Communication,2019,35000
Islington,Financial and insurance activities,2019,13000
Islington,"Professional, Real Estate, Scientific and technical activities",2019,57000
Islington,Administrative and support service activities,2019,29000
Islington,Public Admin and defence,2019,4500
Islington,Education,2019,10000
Islington,Health,2019,20000
Islington,"Arts, entertainment and recreation",2019,7000
Islington,Other services,2019,6000
Islington,Primary & Utilities,2020,700
Islington,Manufacturing,2020,2500
Islington,Construction,2020,6000
Islington,Wholesale,2020,5000
Islington,Retail,2020,14000
Islington,Transportation and Storage,2020,7000
Islington,Accomodation and food service activities,2020,16000
Islington,Information and Communication,2020,35000
Islington,Financial and insurance activities,2020,14000
Islington,"Professional, Real Estate, Scientific and technical activities",2020,57000
Islington,Administrative and support service activities,2020,23000
Islington,Public Admin and defence,2020,5000
Islington,Education,2020,11000
Islington,Health,2020,19000
